threshYear,idouTotal,idouChildTotal,ouThresh
1999,1,0,8667
1999,2,0,7990
1999,3,0,11156
1999,4,0,10070
1999,5,0,13032
1999,6,0,17184
1999,7,0,20723
1999,8,0,23835
1999,9,0,27425
1999,10,0,30673
1999,11,0,36897
1999,1,1,
1999,2,1,
1999,3,1,11483
1999,4,1,11440
1999,5,1,13410
1999,6,1,17465
1999,7,1,21024
1999,8,1,23930
1999,9,1,27596
1999,10,1,30944
1999,11,1,37076
1999,1,2,
1999,2,2,
1999,3,2,
1999,4,2,
1999,5,2,13423
1999,6,2,16895
1999,7,2,20380
1999,8,2,23436
1999,9,2,27006
1999,10,2,30387
1999,11,2,36583
1999,1,3,
1999,2,3,
1999,3,3,
1999,4,3,
1999,5,3,
1999,6,3,16954
1999,7,3,19882
1999,8,3,22964
1999,9,3,26595
1999,10,3,29899
1999,11,3,36169
1999,1,4,
1999,2,4,
1999,3,4,
1999,4,4,
1999,5,4,
1999,6,4,
1999,7,4,19578
1999,8,4,22261
1999,9,4,25828
1999,10,4,29206
1999,11,4,35489
1999,1,5,
1999,2,5,
1999,3,5,
1999,4,5,
1999,5,5,
1999,6,5,
1999,7,5,
1999,8,5,21845
1999,9,5,24934
1999,10,5,28327
1999,11,5,34554
1999,1,6,
1999,2,6,
1999,3,6,
1999,4,6,
1999,5,6,
1999,6,6,
1999,7,6,
1999,8,6,
1999,9,6,23953
1999,10,6,27412
1999,11,6,33708
1999,1,7,
1999,2,7,
1999,3,7,
1999,4,7,
1999,5,7,
1999,6,7,
1999,7,7,
1999,8,7,
1999,9,7,
1999,10,7,27180
1999,11,7,33499
1999,1,8,
1999,2,8,
1999,3,8,
1999,4,8,
1999,5,8,
1999,6,8,
1999,7,8,
1999,8,8,
1999,9,8,
1999,10,8,
1999,11,8,32208
