threshYear,idouTotal,idouChildTotal,ouThresh
1999,1,0,"8,667"
1999,2,0,"7,990"
1999,3,0,"11,156"
1999,4,0,"10,070"
1999,5,0,"13,032"
1999,6,0,"17,184"
1999,7,0,"20,723"
1999,8,0,"23,835"
1999,9,0,"27,425"
1999,10,0,"30,673"
1999,11,0,"36,897"
1999,1,1,.
1999,2,1,.
1999,3,1,"11,483"
1999,4,1,"11,440"
1999,5,1,"13,410"
1999,6,1,"17,465"
1999,7,1,"21,024"
1999,8,1,"23,930"
1999,9,1,"27,596"
1999,10,1,"30,944"
1999,11,1,"37,076"
1999,1,2,.
1999,2,2,.
1999,3,2,.
1999,4,2,.
1999,5,2,"13,423"
1999,6,2,"16,895"
1999,7,2,"20,380"
1999,8,2,"23,436"
1999,9,2,"27,006"
1999,10,2,"30,387"
1999,11,2,"36,583"
1999,1,3,.
1999,2,3,.
1999,3,3,.
1999,4,3,.
1999,5,3,.
1999,6,3,"16,954"
1999,7,3,"19,882"
1999,8,3,"22,964"
1999,9,3,"26,595"
1999,10,3,"29,899"
1999,11,3,"36,169"
1999,1,4,.
1999,2,4,.
1999,3,4,.
1999,4,4,.
1999,5,4,.
1999,6,4,.
1999,7,4,"19,578"
1999,8,4,"22,261"
1999,9,4,"25,828"
1999,10,4,"29,206"
1999,11,4,"35,489"
1999,1,5,.
1999,2,5,.
1999,3,5,.
1999,4,5,.
1999,5,5,.
1999,6,5,.
1999,7,5,.
1999,8,5,"21,845"
1999,9,5,"24,934"
1999,10,5,"28,327"
1999,11,5,"34,554"
1999,1,6,.
1999,2,6,.
1999,3,6,.
1999,4,6,.
1999,5,6,.
1999,6,6,.
1999,7,6,.
1999,8,6,.
1999,9,6,"23,953"
1999,10,6,"27,412"
1999,11,6,"33,708"
1999,1,7,.
1999,2,7,.
1999,3,7,.
1999,4,7,.
1999,5,7,.
1999,6,7,.
1999,7,7,.
1999,8,7,.
1999,9,7,.
1999,10,7,"27,180"
1999,11,7,"33,499"
1999,1,8,.
1999,2,8,.
1999,3,8,.
1999,4,8,.
1999,5,8,.
1999,6,8,.
1999,7,8,.
1999,8,8,.
1999,9,8,.
1999,10,8,.
1999,11,8,"32,208"
